date,last,open,high,low,volume,change_percent
2025-01-02,16190.0,16200.0,16262.5,16174.5,,0.62
2025-01-03,16185.0,16225.0,16245.0,16190.0,,-0.03
2025-01-06,16190.0,16200.0,16212.5,16165.0,,0.03
2025-01-07,16125.0,16175.0,16195.0,16127.5,,-0.4
2025-01-08,16190.0,16167.5,16215.0,16157.5,,0.4
2025-01-09,16195.0,16240.0,16267.5,16200.0,,0.03
2025-01-10,16180.0,16212.5,16215.0,16170.0,,-0.09
2025-01-13,16270.0,16247.5,16292.5,16232.5,,0.56
2025-01-14,16260.0,16270.0,16282.5,16250.0,,-0.06
2025-01-15,16315.0,16290.0,16340.0,16281.5,,0.34
2025-01-16,16355.0,16355.0,16390.0,16347.5,,0.25
2025-01-17,16360.0,16365.0,16375.0,16345.0,,0.03
2025-01-20,16355.0,16365.0,16387.5,16347.5,,-0.03
2025-01-21,16330.0,16310.0,16347.5,16290.0,,-0.15
2025-01-22,16280.0,16305.0,16341.0,16280.0,,-0.31
2025-01-23,16275.0,16265.0,16317.5,16237.5,,-0.03
2025-01-24,16170.0,16260.0,16260.0,16150.0,,-0.65
2025-01-27,16170.0,16170.0,16170.0,16170.0,,0.0
2025-01-28,16170.0,16170.0,16170.0,16170.0,,0.0
2025-01-29,16170.0,16170.0,16170.0,16170.0,,0.0
2025-01-30,16255.0,16235.0,16275.0,16221.5,,0.53
2025-01-31,16295.0,16280.0,16322.5,16280.0,,0.25
2025-02-03,16430.0,16400.0,16472.5,16392.5,,0.83
2025-02-04,16340.0,16370.0,16382.5,16345.0,,-0.55
2025-02-05,16280.0,16315.0,16335.0,16285.0,,-0.37
2025-02-06,16325.0,16292.5,16345.0,16287.0,,0.28
2025-02-07,16270.0,16332.5,16350.0,16275.0,,-0.34
2025-02-10,16340.0,16320.0,16357.5,16317.5,,0.43
2025-02-11,16370.0,16367.5,16390.0,16355.0,,0.18
2025-02-12,16360.0,16357.5,16380.5,16346.5,,-0.06
2025-02-13,16350.0,16385.0,16400.0,16348.5,,-0.06
2025-02-14,16255.0,16290.0,16315.0,16247.5,,-0.58
2025-02-17,16210.0,16185.0,16227.0,16174.0,,-0.28
2025-02-18,16270.0,16237.5,16293.5,16232.5,,0.37
2025-02-19,16330.0,16320.0,16372.5,16307.5,,0.37
2025-02-20,16325.0,16355.0,16372.5,16322.0,,-0.03
2025-02-21,16300.0,16290.0,16317.5,16272.5,,-0.15
2025-02-24,16270.0,16310.0,16327.5,16270.0,,-0.18
2025-02-25,16340.0,16290.0,16357.5,16280.0,,0.43
2025-02-26,16365.0,16352.5,16410.0,16287.5,,0.15
2025-02-27,16445.0,16390.0,16455.0,16390.0,,0.49
2025-02-28,16575.0,16535.0,16592.5,16515.0,,0.79
2025-03-03,16475.0,16540.0,16545.0,16475.0,,-0.6
2025-03-04,16440.0,16450.0,16467.5,16425.0,,-0.21
2025-03-05,16310.0,16410.0,16437.5,16307.5,,-0.79
2025-03-06,16325.0,16275.0,16345.0,16260.0,,0.09
2025-03-07,16290.0,16335.0,16360.0,16292.0,,-0.21
2025-03-10,16335.0,16295.0,16355.0,16285.0,,0.28
2025-03-11,16400.0,16385.0,16451.0,16377.5,,0.4
2025-03-12,16440.0,16440.0,16465.0,16430.0,,0.24
2025-03-13,16420.0,16465.0,16467.5,16400.0,,-0.12
2025-03-14,16345.0,16405.0,16417.5,16347.5,,-0.46
