iter	Passed	Remaining
1090	4524	1696
1091	4527	1691
1092	4531	1687
1093	4536	1683
1094	4539	1679
1095	4543	1674
1096	4547	1670
1097	4551	1666
1098	4555	1662
1099	4559	1658
1100	4563	1653
1101	4568	1649
1102	4572	1645
1103	4576	1641
1104	4580	1637
1105	4584	1633
1106	4588	1629
1107	4592	1624
1108	4596	1620
1109	4600	1616
1110	4604	1612
1111	4608	1608
1112	4612	1603
1113	4616	1599
1114	4620	1595
1115	4624	1591
1116	4628	1587
1117	4632	1582
1118	4636	1578
1119	4640	1574
1120	4644	1570
1121	4648	1566
1122	4652	1561
1123	4656	1557
1124	4661	1553
1125	4665	1549
1126	4669	1545
1127	4674	1541
1128	4679	1537
1129	4684	1533
1130	4689	1529
1131	4693	1525
1132	4697	1521
1133	4702	1517
1134	4705	1513
1135	4710	1509
1136	4714	1505
1137	4718	1500
1138	4722	1496
1139	4725	1492
1140	4729	1488
1141	4733	1484
1142	4738	1479
1143	4742	1475
1144	4746	1471
1145	4750	1467
1146	4754	1463
1147	4758	1458
1148	4761	1454
1149	4765	1450
1150	4770	1446
1151	4774	1442
1152	4778	1438
1153	4782	1433
1154	4786	1429
1155	4790	1425
1156	4794	1421
1157	4798	1417
1158	4802	1412
1159	4806	1408
1160	4810	1404
1161	4813	1400
1162	4817	1396
1163	4821	1391
1164	4825	1387
1165	4829	1383
1166	4833	1379
1167	4837	1375
1168	4841	1370
1169	4845	1366
1170	4849	1362
1171	4854	1358
1172	4858	1354
1173	4862	1350
1174	4866	1345
1175	4870	1341
1176	4874	1337
1177	4878	1333
1178	4882	1329
1179	4886	1325
1180	4890	1320
1181	4894	1316
1182	4897	1312
1183	4901	1308
1184	4906	1304
1185	4910	1299
1186	4914	1295
1187	4918	1291
1188	4921	1287
1189	4925	1283
1190	4930	1279
1191	4934	1274
1192	4938	1270
1193	4941	1266
1194	4945	1262
1195	4949	1258
1196	4953	1253
1197	4957	1249
1198	4961	1245
1199	4965	1241
1200	4969	1237
1201	4973	1233
1202	4977	1228
1203	4981	1224
1204	4985	1220
1205	4989	1216
1206	4993	1212
1207	4997	1208
1208	5001	1203
1209	5005	1199
1210	5009	1195
1211	5013	1191
1212	5017	1187
1213	5021	1182
1214	5025	1178
1215	5029	1174
1216	5033	1170
1217	5036	1166
1218	5040	1161
1219	5044	1157
1220	5048	1153
1221	5052	1149
1222	5056	1145
1223	5060	1140
1224	5063	1136
1225	5067	1132
1226	5071	1128
1227	5075	1124
1228	5079	1120
1229	5083	1115
1230	5087	1111
1231	5091	1107
1232	5095	1103
1233	5099	1099
1234	5103	1094
1235	5109	1091
1236	5113	1087
1237	5118	1083
1238	5122	1078
1239	5126	1074
1240	5130	1070
1241	5134	1066
1242	5138	1062
1243	5142	1058
